,bookId,title,price,author,a_id
60,38447.The_Handmaid_s_Tale,The Handmaid's Tale,529.42,Margaret Atwood (Goodreads Author),8662
61,3636.The_Giver,The Giver,543.4,Lois Lowry (Goodreads Author),7907
62,168668.Catch_22,Catch-22,252.32,Joseph Heller,3342
63,44767458-dune,Dune,2229.84,Frank Herbert,6944
64,5043.The_Pillars_of_the_Earth,The Pillars of the Earth,529.42,Ken Follett (Goodreads Author),7906
65,149267.The_Stand,The Stand,636.88,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",3022
66,3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes,529.42,Arthur Conan Doyle,6680
67,76620.Watership_Down,Watership Down,399.0,Richard Adams,7175
68,2623.Great_Expectations,Great Expectations,64.6,"Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)",6130
69,1934.Little_Women,Little Women,418.76,Louisa May Alcott,7394
70,6514.The_Bell_Jar,The Bell Jar,529.42,Sylvia Plath,3436
71,136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,216.6,J.K. Rowling,7039
72,332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,529.42,Ken Kesey,8016
73,15823480-anna-karenina,Anna Karenina,529.42,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",5382
74,10964.Outlander,Outlander,454.48,Diana Gabaldon (Goodreads Author),6995
75,10917.My_Sister_s_Keeper,My Sister's Keeper,209.76,Jodi Picoult (Goodreads Author),5915
76,39988.Matilda,Matilda,456.76,"Roald Dahl, Quentin Blake (Illustrator)",4621
77,3263607-the-fellowship-of-the-ring,The Fellowship of the Ring,529.42,J.R.R. Tolkien,5856
78,2429135.The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo,529.42,"Stieg Larsson, Reg Keeland (Translator)",4651
79,17899948-rebecca,Rebecca,529.42,Daphne du Maurier,6309
80,40961427-1984,1984,529.42,George Orwell,7006
81,52892857-the-color-purple,The Color Purple,1045.0,Alice Walker,6438
82,14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,380.76,Betty Smith,7112
83,41817486-a-clockwork-orange,A Clockwork Orange,991.8,Anthony Burgess,5912
84,6288.The_Road,The Road,519.08,Cormac McCarthy,6269
85,4934.The_Brothers_Karamazov,The Brothers Karamazov,418.76,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",6860
86,252577.Angela_s_Ashes,Angela's Ashes,209.76,Frank McCourt,7847
87,345627.Vampire_Academy,Vampire Academy,253.08,Richelle Mead (Goodreads Author),4419
88,52036.Siddhartha,Siddhartha,529.42,"Hermann Hesse, Hilda Rosner (Translator)",7362
89,7244.The_Poisonwood_Bible,The Poisonwood Bible,313.12,Barbara Kingsolver,3725
90,119322.The_Golden_Compass,The Golden Compass,122.36,Philip Pullman,4125
91,3836.Don_Quixote,Don Quixote,687.04,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)",8598
92,662.Atlas_Shrugged,Atlas Shrugged,335.16,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",6049
93,5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,451.44,"J.K. Rowling, Mary GrandPré (Illustrator)",7476
94,2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,1187.88,Ernest Hemingway,8244
95,33648131-the-notebook,The Notebook,529.42,Nicholas Sparks (Goodreads Author),3158
96,99107.Winnie_the_Pooh,Winnie-the-Pooh,402.8,"A.A. Milne, Ernest H. Shepard (Illustrator)",6453
97,23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,400.52,Edgar Allan Poe,5566
98,43763.Interview_with_the_Vampire,Interview with the Vampire,202.16,Anne Rice,6594
99,4473.A_Prayer_for_Owen_Meany,A Prayer for Owen Meany,217.36,John Irving (Goodreads Author),7726
100,153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale",142.12,"Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",4178
101,4989.The_Red_Tent,The Red Tent,399.76,Anita Diamant (Goodreads Author),6208
102,37435.The_Secret_Life_of_Bees,The Secret Life of Bees,266.0,Sue Monk Kidd (Goodreads Author),4155
103,6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire,529.42,"J.K. Rowling, Mary GrandPré (Illustrator)",7476
104,7171637-clockwork-angel,Clockwork Angel,351.12,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",5386
105,1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,529.42,J.K. Rowling,7039
106,16299.And_Then_There_Were_None,And Then There Were None,366.32,Agatha Christie,6768
107,2187.Middlesex,Middlesex,236.36,Jeffrey Eugenides,3596
108,49552.The_Stranger,The Stranger,529.42,"Albert Camus, Matthew Ward (Translator)",6027
109,117833.The_Master_and_Margarita,The Master and Margarita,1030.56,"Mikhail Bulgakov, Katherine Tiernan O'Connor (Translator), Ellendea Proffer (Annotations and Afterword), Diana Lewis Burgin (Translator)",8202
110,186074.The_Name_of_the_Wind,The Name of the Wind,711.36,Patrick Rothfuss (Goodreads Author),3892
111,11588.The_Shining,The Shining,576.84,Stephen King (Goodreads Author),4710
112,24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,255.36,"Mark Twain, Guy Cardwell (Annotations), John Seelye (Introduction)",7530
113,113436.Eragon,Eragon,217.36,Christopher Paolini (Goodreads Author),4330
114,6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,85.88,"Roald Dahl, Quentin Blake (Illustrations)",8596
115,36576608-flowers-for-algernon,Flowers for Algernon,529.42,Daniel Keyes,5922
116,70401.On_the_Road,On the Road,145.16,Jack Kerouac,7711
117,485894.The_Metamorphosis,The Metamorphosis,529.42,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",8345
118,99561.Looking_for_Alaska,Looking for Alaska,529.42,John Green (Goodreads Author),7823
119,1232.The_Shadow_of_the_Wind,The Shadow of the Wind,529.42,"Carlos Ruiz Zafón, Lucia Graves (Translator)",7411
120,1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,223.44,Mark Haddon,6612
121,4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,183.92,Eric Carle,7051
122,6900.Tuesdays_with_Morrie,Tuesdays with Morrie,248.52,Mitch Albom (Goodreads Author),5860
123,9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,883.12,"Milan Kundera, Michael Henry Heim (Translator)",3386
124,119073.The_Name_of_the_Rose,The Name of the Rose,309.32,"Umberto Eco, William Weaver (Translator)",3028
125,10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,410.4,Wilson Rawls,3414
126,15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,316.92,"J.K. Rowling, Mary GrandPré (Illustrator)",7476
127,22034.The_Godfather,The Godfather,529.42,"Mario Puzo, Robert Thompson (Introduction), Peter Bart (Afterword)",3978
128,12296.The_Scarlet_Letter,The Scarlet Letter,145.16,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym (Introduction)",3990
129,168642.In_Cold_Blood,In Cold Blood,500.08,Truman Capote,8240
130,36236124-fight-club,Fight Club,772.16,Chuck Palahniuk (Goodreads Author),8952
131,3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,271.32,Mitch Albom (Goodreads Author),5860
132,6339664-hush-hush,"Hush, Hush",193.8,Becca Fitzpatrick (Goodreads Author),3280
133,233093.The_Cat_in_the_Hat,The Cat in the Hat,64.6,Dr. Seuss,3569
134,30165203-american-gods,American Gods,529.42,Neil Gaiman (Goodreads Author),7764
135,7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo,465.88,"Alexandre Dumas, Robin Buss (Translator)",7979
136,256008.Lonesome_Dove,Lonesome Dove,345.8,Larry McMurtry,7688
137,343.Perfume,Perfume: The Story of a Murderer,197.6,"Patrick Süskind, John E. Woods (Translator)",8397
138,38709.Holes,Holes,235.6,Louis Sachar (Goodreads Author),7070
139,100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",529.42,C.S. Lewis,5759
140,472331.Watchmen,Watchmen,368.6,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",5685
141,830502.It,It,433.96,Stephen King (Goodreads Author),4710
142,4556058-the-last-olympian,The Last Olympian,565.44,Rick Riordan (Goodreads Author),3190
143,114345.The_Little_House_Collection,The Little House Collection,529.42,"Laura Ingalls Wilder, Garth Williams (Illustrator)",7305
144,6656.The_Divine_Comedy,The Divine Comedy,1038.16,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)",5264
145,34268.Peter_Pan,Peter Pan,399.76,"J.M. Barrie, Michael Hague (Illustrator)",4036
146,355697.All_Quiet_on_the_Western_Front,All Quiet on the Western Front,176.32,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)",3211
147,5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",355.68,J.R.R. Tolkien,5856
148,1423.The_Compleat_Works_of_Wllm_Shkspr,The Compleat Works of Wllm Shkspr (abridged),240.92,"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)",7372
149,9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera,255.36,"Gabriel García Márquez, Edith Grossman (Translator)",4717
150,2802316-shadow-kiss,Shadow Kiss,209.76,Richelle Mead (Goodreads Author),4419
151,11735983-insurgent,Insurgent,529.42,Veronica Roth (Goodreads Author),8523
152,3412.The_Thorn_Birds,The Thorn Birds,529.42,Colleen McCullough,7378
153,35545737-a-walk-to-remember,A Walk to Remember,529.42,Nicholas Sparks (Goodreads Author),3158
154,113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,529.42,Dr. Seuss,3569
155,13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,209.76,Douglas Adams,6002
156,6867.Atonement,Atonement,217.36,Ian McEwan,3379
157,92303.The_Importance_of_Being_Earnest,The Importance of Being Earnest,399.76,Oscar Wilde,4823
158,19501.Eat_Pray_Love,"Eat, Pray, Love",217.36,Elizabeth Gilbert (Goodreads Author),4393
159,37415.Their_Eyes_Were_Watching_God,Their Eyes Were Watching God,1079.2,Zora Neale Hurston,8389
160,7190.The_Three_Musketeers,The Three Musketeers,529.42,Alexandre Dumas,4386
161,236093.The_Wonderful_Wizard_of_Oz,The Wonderful Wizard of Oz,110.2,"L. Frank Baum, W.W. Denslow (Illustrator)",5168
162,2282133.Frostbite,Frostbite,529.42,Richelle Mead (Goodreads Author),4419
163,32929.Goodnight_Moon,Goodnight Moon,432.44,"Margaret Wise Brown, Clement Hurd (Illustrator)",4440
164,7784.The_Lorax,The Lorax,3135.76,Dr. Seuss,3569
165,12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",529.42,"Terry Pratchett, Neil Gaiman (Goodreads Author)",4536
166,5996153-blood-promise,Blood Promise,283.48,Richelle Mead (Goodreads Author),4419
167,32261.Tess_of_the_D_Urbervilles,Tess of the D'Urbervilles,529.42,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)",4210
168,1078.The_Good_Earth,The Good Earth,400.52,Pearl S. Buck,8367
169,4900.Heart_of_Darkness,Heart of Darkness,546.44,"Joseph Conrad, Aníbal Fernandes (Translator)",4030
170,2120932.The_Battle_of_the_Labyrinth,The Battle of the Labyrinth,529.42,Rick Riordan (Goodreads Author),3190
171,1622.A_Midsummer_Night_s_Dream,A Midsummer Night's Dream,228.0,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)",7528
172,18335634-clockwork-princess,Clockwork Princess,304.0,Cassandra Clare (Goodreads Author),8310
173,2547.The_Prophet,The Prophet,440.8,Kahlil Gibran,8340
174,40605251-the-mists-of-avalon,The Mists of Avalon,529.42,Marion Zimmer Bradley,3134
175,561456.The_Titan_s_Curse,The Titan's Curse,260.68,Rick Riordan (Goodreads Author),3190
176,28186.The_Sea_of_Monsters,The Sea of Monsters,145.16,Rick Riordan (Goodreads Author),3190
177,7763.The_Joy_Luck_Club,The Joy Luck Club,360.24,Amy Tan (Goodreads Author),8197
178,13023.Alice_in_Wonderland,Alice in Wonderland,399.76,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",3166
179,1852.The_Call_of_the_Wild,The Call of the Wild,408.88,"Jack London, Avi (Introduction)",8392
180,71728.Jonathan_Livingston_Seagull,Jonathan Livingston Seagull,345.8,"Richard Bach (Goodreads Author), Russell Munson (Photographer)",7664
181,2175.Madame_Bovary,Madame Bovary,110.2,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)",8971
182,378.The_Phantom_Tollbooth,The Phantom Tollbooth,440.04,"Norton Juster, Jules Feiffer (Illustrator)",8639
183,40940121-bridge-to-terabithia,Bridge to Terabithia,529.42,Katherine Paterson,8555
184,7938275-the-hunger-games-trilogy-boxset,The Hunger Games Trilogy Boxset,310.84,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)",4834
185,191139.Oh_the_Places_You_ll_Go_,"Oh, the Places You'll Go!",380.76,Dr. Seuss,3569
186,5060378-the-girl-who-played-with-fire,The Girl Who Played with Fire,247.0,"Stieg Larsson, Reg Keeland (Translator)",4651
187,6186357-the-maze-runner,The Maze Runner,240.92,James Dashner (Goodreads Author),4204
188,27712.The_Neverending_Story,The Neverending Story,573.04,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",3637
189,18254.Oliver_Twist,Oliver Twist,529.42,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)",6511
190,338798.Ulysses,Ulysses,529.42,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)",6246
191,295.Treasure_Island,Treasure Island,425.6,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",5787
192,10818853-fifty-shades-of-grey,Fifty Shades of Grey,529.42,E.L. James (Goodreads Author),6751
193,40611463-the-clan-of-the-cave-bear,The Clan of the Cave Bear,529.42,Jean M. Auel,3513
194,62291.A_Storm_of_Swords,A Storm of Swords,271.32,George R.R. Martin,3974
195,2696.The_Canterbury_Tales,The Canterbury Tales,296.4,"Geoffrey Chaucer, Nevill Coghill (Translator)",7427
196,7069.The_World_According_to_Garp,The World According to Garp,529.42,John Irving (Goodreads Author),7726
197,10799.A_Farewell_to_Arms,A Farewell to Arms,69.16,Ernest Hemingway,8244
198,58696.David_Copperfield,David Copperfield,529.42,"Charles Dickens, Jeremy Tambling (Introduction)",4150
199,6350972-tote-m-dchen-l-gen-nicht,Tote Mädchen lügen nicht,293.36,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)",3246
200,37442.Wicked,Wicked: The Life and Times of the Wicked Witch of the West,209.76,"Gregory Maguire, Douglas Smith (Illustrator)",5135
201,402093.Sh_gun,Shōgun,535.04,James Clavell,8013
202,4588.Extremely_Loud_Incredibly_Close,Extremely Loud & Incredibly Close,183.16,Jonathan Safran Foer (Goodreads Author),4829
203,853510.Murder_on_the_Orient_Express,Murder on the Orient Express,194.56,Agatha Christie,6768
204,18116.His_Dark_Materials,His Dark Materials,271.32,Philip Pullman,4125
205,3008.A_Little_Princess,A Little Princess,218.12,"Frances Hodgson Burnett, Nancy Bond (Foreword)",5927
206,37470.The_Other_Boleyn_Girl,The Other Boleyn Girl,529.42,Philippa Gregory (Goodreads Author),6290
207,375013.Schindler_s_List,Schindler's List,64.6,Thomas Keneally,6810
208,39999.The_Boy_in_the_Striped_Pajamas,The Boy in the Striped Pajamas,529.42,John Boyne,7636
209,40604658-jurassic-park,Jurassic Park,529.42,Michael Crichton,6087
210,6527740-last-sacrifice,Last Sacrifice,288.8,Richelle Mead (Goodreads Author),4419
211,9361589-the-night-circus,The Night Circus,533.52,Erin Morgenstern (Goodreads Author),4249
212,6487308-fallen,Fallen,352.64,Lauren Kate (Goodreads Author),5674
213,7332.The_Silmarillion,The Silmarillion,1297.32,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",4996
214,514811.The_Secret_Magdalene,The Secret Magdalene,425.6,Ki Longfellow (Goodreads Author),6020
215,6149.Beloved,Beloved,288.8,Toni Morrison,3374
216,17690.The_Trial,The Trial,529.42,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)",5808
217,310612.A_Confederacy_of_Dunces,A Confederacy of Dunces,449.16,"John Kennedy Toole, Walker Percy (Foreword)",7800
218,3876.The_Sun_Also_Rises,The Sun Also Rises,529.42,Ernest Hemingway,8244
219,10507293-the-selection,The Selection,380.76,Kiera Cass (Goodreads Author),4128
220,144974.The_Velveteen_Rabbit,The Velveteen Rabbit,448.4,"Margery Williams Bianco, William Nicholson (Illustrator)",6161
221,6148028-catching-fire,Catching Fire,278.16,Suzanne Collins,7541
222,7736182-the-lost-hero,The Lost Hero,779.0,Rick Riordan (Goodreads Author),3190
223,7896527-throne-of-glass,Throne of Glass,529.42,Sarah J. Maas (Goodreads Author),3397
224,6479259-spirit-bound,Spirit Bound,348.84,Richelle Mead (Goodreads Author),4419
225,10025305-clockwork-prince,Clockwork Prince,432.44,Cassandra Clare (Goodreads Author),8310
226,1375.The_Iliad_The_Odyssey,The Iliad/The Odyssey,467.4,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",8262
227,17250.The_Crucible,The Crucible,302.48,"Arthur Miller, Christopher Bigs(Introduction)",5330
228,135479.Cat_s_Cradle,Cat's Cradle,432.44,Kurt Vonnegut Jr.,7435
229,9777.The_God_of_Small_Things,The God of Small Things,240.92,"Arundhati Roy (Goodreads Author), Claude Demanuelli (Translator), Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé (Translator)",4881
230,5659.The_Wind_in_the_Willows,The Wind in the Willows,317.68,"Kenneth Grahame, Gillian Avery (Introduction)",5197
231,8130077-the-screwtape-letters,The Screwtape Letters,529.42,C.S. Lewis,5759
232,2865.Girl_with_a_Pearl_Earring,Girl with a Pearl Earring,217.36,Tracy Chevalier (Goodreads Author),4602
233,561909.The_Hiding_Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,316.92,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)",7449
234,30118.A_Light_in_the_Attic,A Light in the Attic,918.08,Shel Silverstein,8249
235,23807.The_Silence_of_the_Lambs,The Silence of the Lambs,236.36,Thomas Harris,5402
236,6068551-shiver,Shiver,535.8,Maggie Stiefvater (Goodreads Author),4951
237,24770.Uglies,Uglies,272.08,Scott Westerfeld (Goodreads Author),4910
238,6752378-city-of-fallen-angels,City of Fallen Angels,361.0,Cassandra Clare (Goodreads Author),8310
239,4069.Man_s_Search_for_Meaning,Man's Search for Meaning,560.12,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)",5732
240,5203.She_s_Come_Undone,She's Come Undone,145.16,Wally Lamb (Goodreads Author),8283
241,480204.The_Phantom_of_the_Opera,The Phantom of the Opera,217.36,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)",8409
242,12691.Marley_and_Me,Marley and Me: Life and Love With the World's Worst Dog,402.04,John Grogan,4311
243,24337.Ella_Enchanted,Ella Enchanted,145.16,Gail Carson Levine (Goodreads Author),4416
244,11275.The_Wind_Up_Bird_Chronicle,The Wind-Up Bird Chronicle,1691.0,"Haruki Murakami, Jay Rubin (Translator)",7289
245,36381037-cinder,Cinder,529.42,Marissa Meyer (Goodreads Author),6337
246,11566.The_Green_Mile,The Green Mile,1334.56,Stephen King (Goodreads Author),4710
247,40495148-blindness,Blindness,529.42,José Saramago,6001
248,10572.A_Clash_of_Kings,A Clash of Kings,145.16,George R.R. Martin,3974
249,10975.The_Sound_and_the_Fury,The Sound and the Fury,529.42,William Faulkner,5487
250,40874325-the-shack,The Shack,529.42,William Paul Young,3975
251,30183.Marked,Marked,136.04,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)",6522
